PlotKey,TreeKey,SpeciesCode,DBH,TotalHeight,Age_BH
1,fd21334c-bcad-401c-ac38-31778732d4c6,12,7.2,5.8,0.0
1,f45d8d74-3de7-4c93-abf4-56a6f339563f,13,12.2,9.6,0.0
1,52686082-8cc5-4fe4-860d-1cce979eee5b,13,7.1,5.0,0.0
1,3083a56e-0690-43ff-9bdf-3ee863905ee0,13,8.5,7.6,25.0
1,a804cb0b-36f7-40e1-836c-4b0ce9bf57be,13,25.5,21.1,0.0
1,55099836-60b2-41f0-94dc-3aa265e22a61,13,35.7,24.6,134.0
1,9f7bf7db-8867-469a-b7a0-113914c443f4,13,11.0,11.1,0.0
1,1116a8db-b640-400d-baef-be88ac9323dd,13,7.9,7.6,26.0
1,1a9ed624-e5df-4b97-a748-bf95dce29a3f,13,21.1,19.0,0.0
1,0033553a-cc09-4d00-bac5-282a4379512c,13,14.5,12.4,0.0
1,4449e95e-f85c-4aa5-9b39-0b1195d33084,13,9.4,8.6,0.0
1,7d62e250-64f2-4eee-9427-75060eda85c6,13,10.0,9.1,0.0
10,e0bd78b0-4544-4477-bc95-104429c5c4c8,25,7.9,5.7,0.0
10,872e15c5-6693-447f-bbc3-57d29ecd4cd5,13,15.4,3.9,0.0
10,4ec8d2f4-6706-41cd-b470-5a8701d422b7,25,8.0,6.8,0.0
10,45ab28b1-814f-4aef-950f-1a8378fcfa5b,13,13.4,10.9,0.0
10,b67d72cf-a67b-455f-86bc-84bf4835d425,25,7.6,7.6,0.0
10,16c1a30f-0eca-4de0-ba40-897142cb5fa5,13,12.9,10.3,0.0
10,6749e1ef-86ab-4afd-9ce1-1f884a2f13a0,13,10.8,9.5,0.0
10,4bfaac81-3419-40a3-94d4-b3992bb39c7f,25,7.4,7.0,0.0
10,83bb7660-6315-4380-b7ec-2042cfe73b8f,25,9.0,7.6,0.0
10,8af64d0d-f642-461c-89eb-1d43a947cbd2,13,9.4,8.8,0.0
10,086d36f5-4c2f-49e2-8422-db5cc7d1ac6d,13,11.4,9.0,0.0
10,35a7a36f-a80a-496d-8457-f0b91db0dce4,13,9.5,7.1,0.0
10,2629793a-efb5-458a-8532-e1cc9f36ebcd,25,10.6,8.8,0.0
10,c91ec37b-e8ea-49e1-bab0-d56e46c9649e,25,10.0,8.7,0.0
10,c376e6ef-4167-443c-a6be-37023b0a689e,25,7.5,6.2,0.0
10,e9d08dae-e132-4f0a-9f9a-4d3520cd4ee7,25,8.4,10.0,0.0
10,edf2b4cd-afae-49d1-a998-d7754fee8f00,13,16.0,11.6,104.0
10,df8b9da5-fe9b-4990-891b-f0d4cf0edaf7,13,13.1,13.1,0.0
10,34f52fc1-b9fb-4409-bda8-0215e5e5da8f,13,8.5,9.5,0.0
10,27b1ed6f-59c1-461a-845d-1619d691bb1b,13,11.9,12.6,0.0
10,1ac0b496-f735-40c1-b71c-199724c560e6,13,7.5,6.4,0.0
10,9aa580a4-b31b-498a-9991-7fb7dfb15865,13,11.6,9.4,0.0
10,d6907968-914e-467b-82ec-306128d71132,13,11.5,9.9,0.0
