"PlotKey","TreeKey","SpeciesCode","DBHIn","CrownIn","TreeStatusCode","DBH","TotalHeight","BrokenTop","CrownClassCode"
79,"c60e464d-ac25-47ed-9c9c-a15ddbffe4c5",74,"Y","Y","L",10.1,11.1,NA,"D"
79,"3414f43e-30b5-4a0d-b7e4-d7e29c683068",20,"Y","Y","L",8.1,6.4,NA,"S"
79,"2947f703-d711-499b-92af-814cf4012a20",13,"Y","Y","L",14.4,8.5,NA,"C"
79,"c738c775-b6ce-4100-9d78-f4b420fa30ca",13,"Y","Y","L",15.7,12,NA,"D"
79,"fa489b75-670b-4eab-80a7-60d33348921e",13,"Y","Y","L",18.8,10.2,NA,"C"
79,"fb4309bd-c9e9-4648-92e7-a118437f3504",13,"Y","Y","L",13.9,9,NA,"I"
79,"c7b5c02d-d25d-42eb-bd9d-9df47f652c9e",20,"Y","Y","L",8.6,6.9,NA,"I"
79,"a4075e61-6d0d-431c-89c0-055d3ffcc22c",13,"Y","Y","L",8.6,7.1,NA,"I"
79,"81efa11d-1014-40d3-82cf-2ff2cbf33408",13,"Y","Y","L",10.4,7,NA,"I"
79,"894d84d3-221a-4dd2-af31-02f92bbc8bf4",13,"Y","Y","L",14.9,8.1,NA,"C"
79,"795000d0-9ecc-4940-8527-e80ada2711b7",13,"Y","Y","L",12.7,7.5,NA,"D"
79,"27b381ca-88f0-4a67-8fad-c6dd155ec513",20,"Y","Y","L",17,10.8,NA,"C"
79,"3cad0bbd-71e0-4b41-903f-78fe18806681",13,"Y","Y","L",16.3,10.2,NA,"C"
79,"2e017df6-552a-46fa-a326-15b3dc5a4811",13,"Y","Y","L",16.8,9.3,NA,"C"
79,"92175ee9-d01a-44d3-8d41-468828b4cc4a",20,"Y","Y","L",13.6,8.9,NA,"C"
79,"1f6a50a7-c898-4dc9-a204-856f717a51fe",13,"Y","Y","L",7.3,8.4,NA,"I"
79,"9fa7c7b0-bf73-410a-8a40-815da9e39acb",13,"Y","Y","L",14.6,9.7,NA,"C"
79,"5280f19d-e7d1-47bb-9da1-3b369de6a026",13,"Y","Y","L",10,9.6,NA,"C"
79,"7dafe69b-dca5-432d-bf73-7a36861f5d0a",139,"Y","Y","L",8.8,9.6,NA,"C"
79,"d50bdf3f-7082-4b4d-aba7-63cc1c275a87",20,"Y","Y","L",15.1,11.9,NA,"D"
79,"d0125f9d-9162-46a9-8033-518799893938",20,"Y","Y","L",27,13.1,NA,"D"
79,"3adce8d3-974f-4ad9-b946-b61b4114ddd7",13,"Y","Y","L",9.1,7.1,NA,"I"
79,"e7d38e12-658c-4531-be12-495cf187ccce",13,"Y","Y","L",14,7.4,NA,"I"
79,"d1cd36c1-40ed-4775-9d84-c79e28d4adcc",13,"Y","Y","L",14.8,9.7,NA,"C"
79,"787571ad-34bb-469b-8648-ba8157fa6941",20,"Y","Y","L",8.2,8.8,NA,"I"
79,"3d932bce-5a9b-46fc-82fa-3f0046b26e0c",20,"Y","Y","L",18.3,11.6,NA,"D"
79,"f8557557-cbae-44fc-94a6-dd7aba49e698",20,"Y","Y","L",18.4,12.8,NA,"D"
79,"6a79b2e8-0f8f-449d-a9bd-064f30266f18",20,"Y","Y","L",11.1,11.5,NA,"C"
79,"6e147692-4c7e-4550-95b9-6b81bc0336a6",20,"Y","Y","L",10,10.7,NA,"C"
79,"a1a3128c-7625-409c-ae3e-41e76ee6e999",20,"Y","Y","L",11,9,NA,"I"
79,"7f62df75-2f3f-48fb-bc58-6eb64d1ece96",20,"Y","Y","L",10,9.2,NA,"I"
79,"9e9fddc6-4b6e-4430-aeb1-d10c2ad54e94",20,"Y","Y","L",12.9,9.1,NA,"I"
79,"287b6bac-6d3c-4b02-ae50-fe538e3c2b3f",74,"Y","Y","L",9.7,10.5,NA,"C"
79,"25c37bee-511b-48a2-a517-ec0982b92f49",20,"Y","Y","L",11.5,10.5,NA,"C"
79,"6e0d8058-fa26-47c2-876c-0de9c583a83f",20,"Y","Y","L",10.7,10.6,NA,"C"
79,"789daee5-880e-4ece-8d58-cbf94a6413ff",20,"Y","Y","L",9.8,10.2,NA,"C"
79,"3b3aa62c-f606-41be-ae6a-e2dc2868c8a4",13,"Y","Y","L",9.1,9.7,NA,"I"
79,"e67b0757-64eb-4e3f-85ec-6338a32869a9",20,"Y","Y","L",14.4,11.5,NA,"C"
79,"b6e7d339-ee75-476a-a5d5-329cb14e1614",20,"Y","Y","L",15.9,11.7,NA,"C"
79,"41a64e00-a142-43f0-85fb-5979a39de9d9",20,"Y","Y","L",14.9,11.3,NA,"C"
79,"da46e6da-c509-4bbf-9663-26e9ea0ac3bb",13,"Y","Y","L",15,9.6,NA,"I"
79,"4bfc992d-0c13-4e95-8571-ac44f223fed4",13,"Y","Y","L",15.8,10.1,NA,"C"
79,"0951d17d-6f17-4718-8907-94c652202589",13,"Y","Y","L",11.9,10.9,NA,"C"
79,"6143684f-a66b-48d7-b804-7dfa38fe794e",20,"Y","Y","L",11.5,10.6,NA,"C"
79,"0a625bb1-a123-4628-bdc2-1dc93bec00fa",20,"Y","Y","L",10.1,9.8,NA,"C"
79,"7e6fa439-157e-4478-b07e-650fef5b523a",13,"Y","Y","L",10.6,8.3,NA,"I"
79,"29d4c379-82ab-46ff-8bee-669e789a7acb",20,"Y","Y","L",7.3,7.4,NA,"I"
79,"5c63a0a9-4951-4f85-a767-bd2aa99b36c4",13,"Y","Y","L",17.5,10.7,NA,"C"
79,"36c1b0c2-c71f-4050-8de2-f601e32f279b",13,"Y","Y","L",7.2,7.2,NA,"S"
79,"87c59f08-32e1-43d6-b7b4-19391dee2c03",13,"Y","Y","L",8.7,8.4,NA,"I"
79,"2340097a-2d06-47fc-b931-4e01843b49c3",13,"Y","Y","L",13.9,9.7,NA,"C"
79,"0cee8334-6952-4250-9f81-b65d2fa0f19f",13,"Y","Y","L",10.7,8.3,NA,"I"
79,"1eb2a91f-1288-4fe4-ad13-93d8a20e49a9",13,"Y","Y","L",11.2,8.1,NA,"C"
79,"2e18f551-81dd-4ac0-8c15-2dce0166da93",13,"Y","Y","L",9.9,7.5,NA,"I"
79,"e02b53f4-553b-475a-9747-74a4ea956c0f",13,"Y","Y","L",17.2,10.4,NA,"C"
79,"ed0947a2-7375-4fc3-b9b5-a7ddd63e4a6a",13,"Y","Y","L",18.8,10.5,NA,"C"
79,"24ca6d4c-a6bb-4d84-8200-09e5de14dd1b",74,"Y","Y","L",11,11,NA,"D"
79,"4370aa0d-32b2-47f0-a3f6-2eb57a7518b2",13,"Y","Y","L",15.3,8,NA,"I"
90,"1d296a75-5fe2-41ff-996b-f55ded5ab44b",38,"Y","Y","L",7.7,6.7,NA,"C"
90,"b9a7c04e-f70e-4103-bfcc-f02c473857d8",13,"Y","Y","V",36.1,24.7,NA,"D"
90,"4147b21d-0251-4737-86a6-fc15e0bd317a",20,"Y","Y","V",18.7,9.3,NA,"C"
90,"0434ef8d-eca1-465b-a25e-ad33b209d682",74,"Y","Y","L",8.6,9.4,NA,"C"
97,"e9056b69-26fd-48a3-9c3e-fb7348d17cc8",13,"Y","Y","L",8,9.3,NA,"I"
97,"deee468f-c210-4bf2-bfc8-fb78f22d030c",13,"Y","Y","L",7.3,6.7,NA,"I"
97,"5e010fd7-45e3-4578-a1e5-54ddd3a03ff7",13,"Y","Y","L",9.2,9.4,NA,"I"
97,"fd2bfb29-d94b-44da-941d-c70f81492cc2",13,"Y","Y","L",17.6,13.4,NA,"D"
97,"5f49724e-1fd7-4be1-a875-66b4ec67f0d6",13,"Y","Y","L",8,10,NA,"I"
97,"0fcf63f0-ba59-45b4-b882-ba8f29cd246c",13,"Y","Y","L",9.7,9.9,NA,"I"
97,"29c60fbd-29be-4eae-b3ad-7c6fd469a07a",13,"Y","Y","L",16.1,13,NA,"I"
