"VSNPLOTNAME","PlotKey","ecosite","Compile_limit","Stems","Planted_BasalArea","CD_BHAge","BasalArea","CDHt","plot_DHt","LoreyHeight","plot_QMDHt","MaxHt1","MaxHt12","TopHt","BasalArea_DomCodom","BasalArea_Intermediate","BasalArea_Understory","Height_Intermediate","Height_Understory","conifer_frac","intHwd_frac","tolHwd_frac","LeadSpp_CDHt","LeadSpp_CDAge","QMD","GTV","GMV_NL","GMV_size1","GMV_size2","GMV_size3","GMV_size4","GMV_size5","GMV_WL","BA_size1","BA_size2","BA_size3","BA_size4","BA_size5","GTV_DomCodom","GTV_Intermediate","GTV_Understory","BiomassWood","BiomassBark","BiomassBranches","BiomassFoliage","LeadSpp","SpeciesComposition","BasalArea_Dead","REG_FU","TagLimit"
"VSN060001",1,"B063S D n",7.1,325,NA,44.6666666666667,11.8283577519011,21.875,22.8,20.7040913151127,22.8333333333333,24.6,23.7,21.875,10.0391486669184,1.78920908498262,NA,8.53333333333333,NA,1,0,0,21.5666666666667,44.6666666666667,21.526582937574,90.2095390361047,81.2760191567886,4.00190539881768,6.77180133483904,32.349005138397,0,38.1533072847349,79.1810532844869,1.312501575,0.874169835,3.77922699,0,5.370741915,82.1085259246872,8.10101311141751,NA,41.1306263518715,4.09604231383006,6.50573961066008,3.05551922512932,13,"Sb 54 Pj 45 Sw  1                  ",NA,"PJ2",7.1
"VSN060002",2,"B127TtD n",7.1,525,NA,23.7142857142857,7.47072135054683,17.9625,20.05,16.3778298602582,17.9625,21.4,20.25,19.025,5.86165285407594,1.60906849647089,NA,7.09166666666667,NA,0.963030891256601,0.0369691087433992,0,17.9625,23.7142857142857,13.4603443018514,53.6581265033599,42.6770690459455,0.540859524415823,42.1362095215297,0,0,0,40.3971494868691,0.55099737,6.38055033,0,0,0,47.9585213727978,5.69960513056204,NA,22.7519783285366,3.11845774942034,3.13767285702467,3.03401521230634,13,"Sb 89 La  5 Bw  4 Bf  3            ",3.19567479,"SB1",7.1
"VSN060003",3,"B128TtD n",7.1,125,NA,15.4,1.01619826046375,7.02,8.75,8.26532902662255,10.5,10.5,8.75,7.375,1.01619826046375,NA,NA,NA,NA,1,0,0,6.15,14,10.1739305478431,3.91106346557408,1.83420557423609,1.83420557423609,0,0,0,0,1.65656676169366,0.483983115,0,0,0,0,3.91106346557408,NA,NA,1.79209437633969,0.279082988716477,0.583523494642459,0.527612065478753,13,"Sb 52 La 48                        ",NA,"LC1",7.1
"VSN060004",4,"B035TlD n",7.1,1800,13.60501296,0.523076923076923,14.3852803311373,8.95846153846154,9.73846153846154,8.95830065710244,9.3,10.4,10.35,9.675,13.3779032369226,1.00737709421475,NA,7.21428571428571,NA,1,0,0,8.95846153846154,0.523076923076923,10.0873586866724,59.4120567392564,20.0250892841607,20.0250892841607,0,0,0,0,14.5784090839949,12.134606715,0,0,0,0,55.9309251979256,3.48113154133088,NA,27.1103830383393,3.78272598646811,4.78812430590076,3.88329371359495,3,"Pj 95 Sb  5                        ",NA,"PJ1",7.1
"VSN060005",5,"B129TtD n",7.1,175,NA,32.5714285714286,2.72241621825795,7.31666666666667,7.95,7.25182802637603,5.7,10.1,8.9,7.45,2.72241621825795,NA,NA,NA,NA,1,0,0,5.7,87.5,14.0738458154412,9.55805110158625,6.03076068294943,2.64872749348869,3.38203318946075,0,0,0,4.59133957040231,1.21952985,1.2271875,0,0,0,9.55805110158625,NA,NA,3.27610536572408,0.53402565991371,1.65385769650834,1.2314709044347,22,"Cw 61 La 32 Sb  7                  ",NA,"LC1",7.1
"VSN060006",6,"B034TtD n",7.1,1575,12.518902935,1.26785714285714,15.237168978629,9.23636363636364,9.23636363636364,9.48300612030445,9.98181818181818,11.5,11.45,9.9,14.115932899207,1.00782431942194,0.11341176,8.28333333333333,7.4,1,0,0,9.83636363636364,1.20454545454545,11.0985543822109,66.9370070101134,36.4076039184206,36.4076039184206,0,0,0,0,27.4533021547202,13.227333735,0,0,0,0,62.4436228693198,4.11079967393485,0.382584466858678,29.9764738553969,4.05238363133264,5.66168311306575,4.65726500693212,3,"Pj 84 Sb 16                        ",NA,"PJ1",7.1
"VSN060007",7,"B035TtD n",7.1,2300,15.66448884,0.420454545454545,15.9033667206661,9.40113636363636,10.7,9.42124376460979,9.71627906976744,10.7,10.7,9.95,15.4453169765976,0.458049744068457,NA,6.65,NA,1,0,0,9.40113636363636,0.420454545454545,9.38285857359884,70.1941808010998,17.817602033592,17.817602033592,0,0,0,0,12.5329892692459,10.485070365,0,0,0,0,68.7585339250159,1.435646876084,NA,32.542160558699,4.39484622469846,4.63729032692894,4.16789067200365,3,"Pj 99 Sb  1                        ",0.39592014,"PJ1",7.1
"VSN060008",8,"B065TtMDn",7.1,125,NA,33.8,1.08926610596671,6.54,5.75,6.8584858925961,7.85,7.9,7.85,6.8,1.08926610596671,NA,NA,NA,NA,1,0,0,6.3,38,10.5333506072715,3.71598412912789,1.61490913884543,1.61490913884543,0,0,0,0,1.26656175437682,0.935431035,0,0,0,0,3.71598412912789,NA,NA,1.53113029420712,0.289043282093098,0.569331479961878,0.747877919388688,20,"Bf 57 Sb 43                        ",2.432089275,"SF1",7.1
"VSN060009",9,"B055TtD n",7.1,1375,NA,15.1818181818182,40.2456378724332,21.752380952381,23.1,19.5116743700448,21.605,24.1,23.9,23.525,27.6548739678631,8.57193414,4.01882976457014,14.0736842105263,10.8153846153846,0.211020335593119,0.788979664406881,0,22.2466666666667,11,19.3046801326287,352.235230286221,290.170253099313,22.3667254356793,101.805331921704,165.998195741929,0,0,273.246769717536,7.94714844,14.53154934,16.89874494,0,0,275.932017303034,54.1986419119337,22.1045710712531,142.424038353249,27.7746179645397,21.1702437883408,7.02017242697994,74,"Pt 56 Bw 23 Bf 21                  ",3.582543195,"PO1",7.1
"VSN060010",10,"B128TtD n",7.1,1400,NA,10.6666666666667,11.710455110556,10.2826086956522,12,9.68075941550568,10.08,13.1,12.85,12.25,7.34215773137656,4.25699134126502,0.111306037914407,7.57586206896552,6.4,1,0,0,10.6058823529412,10.1764705882353,10.3199458979479,50.4107307761065,24.5911258761412,22.2567877357652,2.334338140376,0,0,0,18.8455162393338,8.218523775,0.534562875,0,0,0,34.7373546984968,15.3228259134093,0.350550164200346,23.5223587606548,3.64142519459748,5.98206090294263,5.53175867587946,13,"Sb 57 La 43                        ",NA,"LC1",7.1
"VSN060011",11,"B055TtD n",7.1,1425,NA,16.0909090909091,46.7131445947223,21.05,24.25,19.4871298733191,19.4291666666667,25.1,24.95,24.25,27.3495275438647,14.8272448258576,4.536372225,16.6904761904762,10.95,0.231023367483149,0.768976632516851,0,21.5785714285714,12.4285714285714,20.4299202451158,399.302235766568,329.747749727991,12.3964014277127,161.510010706959,92.0460549142022,63.7952826791178,0,309.326996565155,4.66617921,25.33551174,10.33445028,5.842060455,0,269.531177404499,105.234304997662,24.536753364407,166.252561172352,31.7623039019721,27.2456378887748,8.62150463189572,74,"Pt 48 Bw 29 Bf 23                  ",3.44346849,"PO1",7.1
"VSN060012",12,"B055TtD n",7.1,1075,NA,13.3461538461538,39.0731830757033,22.2384615384615,26.55,21.6059623297245,22.77,26.9,26.55,25.5,30.5572968648944,8.51588621080887,NA,13.8647058823529,NA,0.157518322370939,0.842481677629061,0,24.0722222222222,9.83333333333333,21.5124421531941,382.320530180083,325.148672490194,14.8268019899906,97.4337317918539,212.888138708349,0,0,310.447795929329,5.71178223,13.23744576,19.857366375,0,0,329.073645288626,53.2468848914572,NA,152.061866585828,29.5909506199855,20.2143660174712,6.03474160861693,74,"Pt 67 Bw 18 Bf 15 Sw  1            ",0.61834542,"PO1",7.1
"VSN060013",13,"B040TtD n",7.1,1250,NA,13.5384615384615,34.0240063306926,20.2038461538462,22.34,18.9918303223522,19.3083333333333,23,22.9,21.7,21.8478885221248,7.44262192821997,4.7334958803478,16.1615384615385,12.8090909090909,0.187868513967492,0.812131486032508,0,19.5588235294118,10.4117647058824,18.6162529050567,277.056758642861,202.462373323284,9.90389056784018,135.547786167806,57.010696587637,0,0,181.146055364687,5.570076435,21.72439962,6.50146266,0,0,197.953595433834,51.2711408933833,27.8320223156441,122.438944082904,22.2676732411948,18.7519610555454,6.40730958001608,38,"Bw 52 Pt 29 Bf 19                  ",1.44219075,"BW1",7.1
"VSN060014",14,"B104TtD k",7.1,525,NA,10.1666666666667,34.4788196370833,26.9611111111111,26.9611111111111,27.1467368621561,28.03,29.9,29.85,28.85,33.7385761313171,0.740243505766207,NA,12.8,NA,0,0.996868313013533,0.0031,26.9611111111111,10.1666666666667,28.9168574862303,435.068863759055,405.653202093649,1.14039386049001,20.1249571423906,267.262570947373,117.125280143395,0,396.088152233038,0.632266635,2.150523375,22.669294725,8.953029855,0,430.433987843291,4.63487591576412,NA,166.001171223193,32.5524791680363,19.0225835946896,3.25070148216294,74,"Pt 98 Bw  2 OH  0                  ",3.632455365,"PO1",7.1
"VSN060015",15,"B040TtD n",7.1,700,NA,16.1904761904762,32.55255234,24.0578947368421,27.8,24.5247936353765,25.5583333333333,27.9,27.8,26.975,30.00577503,2.54677731,NA,13.5714285714286,NA,0,1,0,25.7,11.9285714285714,24.3331343762251,354.020477367703,311.809320155239,2.88180911604917,58.8954233072076,212.772114401811,37.259973330171,0,299.905546516851,1.65393459,8.284104675,19.2870678,3.188900715,0,337.119369074046,16.9011082936568,NA,143.555368941399,27.449211893862,19.5452869800832,3.83377389313883,74,"Pt 72 Bw 28                        ",6.106543905,"PO1",7.1
"VSN060016",16,"B049TtS n",7.1,1050,NA,14.0526315789474,26.9948555032758,17.4111111111111,17.4111111111111,16.3256137739821,17.4684210526316,19.4,19.3,19.025,21.4835662582758,2.50059579,3.010693455,12.4166666666667,8.71764705882353,0.943356049458592,0.0566439505414077,0,17.6235294117647,11.0588235294118,18.0925759984359,196.859909686573,171.930220353844,11.5705560379643,70.4660827357285,89.893581580151,0,0,162.921698800432,3.58806063,10.297124145,12.016521825,0,0,168.681299589934,15.0880425395155,13.0905675571238,84.8391741394928,8.2719012323327,11.5823588166147,6.8287826175625,3,"Pj 74 Sb 14 Bf  6 Bw  6            ",3.940764135,"PJ1",7.1
"VSN060017",17,"B049TtD n",7.1,1050,NA,11.3,34.0537242405133,21.065,23.3,19.5243507649301,20.2809523809524,23.8,23.8,22.65,23.37483918,3.98415229962997,6.69473276088337,17.45,11.8611111111111,1,0,0,21.065,11.3,20.3208658790061,299.392206472893,273.692403245094,10.2534224354016,147.161893215966,116.277087593726,0,0,263.950324309622,2.8148736,18.89625276,11.94479517,0,0,229.239165154337,29.0507956511814,41.1022456673751,128.988211120777,11.6276954006801,12.5002267292965,8.60606729097314,3,"Pj 69 Sb 25 Bf  6                  ",3.198050625,"PJ1",7.1
"VSN060018",18,"B040TtD n",7.1,1500,NA,9.04166666666667,39.6340714484427,21.8333333333333,21.8333333333333,19.8393072238274,20.9571428571429,24.5,24.4,23.45,25.5719358718864,5.165752515,8.89638306155624,17.19,13.3115384615385,0.471521537116535,0.528478462883465,0,22.34375,9.4375,18.3418554280071,353.359974690542,290.645438344584,25.0617069385068,167.659624655462,97.9241067506146,0,0,271.179904497452,7.59894135,21.3448158,9.86902224,0,0,259.959633316653,37.3141181078609,56.0862232660287,141.560902620507,23.6935311737063,16.5239791406685,7.95125291040237,74,"Pt 44 Bf 23 Pj 16 Bw  9 Sw  8 Sb  0",2.99940333,"MH2",7.1
